track_id,track_name,artists,album_name,album_id
4SRyrhBJ5mq8fEa3bsdZn6,Drugs & Money - New Mix,Chase Atlantic,Chase Atlantic,7C8uqokvE67UOlu1TiEYMd
40qyPyljksBEqlNw5sW37T,Habitual,Justin Bieber,Changes,63iWSELt9V1kV6RSMxN7Ii
77U6kcldLRFl9vCfaw11Sr,Champagne & Sunshine,"PLVTINUM, Tarro",Champagne & Sunshine,0ypRXml4YrjqnfL4D4S7qg
1oWM79mUVdZGCGYjSirHZR,Bandit (with YoungBoy Never Broke Again),"Juice WRLD, YoungBoy Never Broke Again",Death Race For Love (Bonus Track Version),1btu0SV2DOI5HoFsvUd78F
5wujBwqG7INdStqGd4tRMX,Armed And Dangerous,Juice WRLD,Goodbye & Good Riddance,6tkjU4Umpo79wwkgPMV3nZ
4UwqOWDpdeIDVQDuKT6iza,You Are In Love (Taylor's Version),Taylor Swift,1989 (Taylor's Version),64LU4c1nfjz1t4VnGhagcg
2m6HgwjakjAXimujX8m4sk,BLEED,The Kid LAROI,THE FIRST TIME,63IolVUykZCHMlu2zu9jHS
4C6CPs97VoRT98bkVHYhNq,Never Left My Mind,PLAZA,Never Left My Mind,1oA1wrie0ma2w5beqS62Zu
4WyRR7iO0hufoCKZ1kiguz,Lose Face,Daniel Di Angelo,Lose Face,2hrBOXsDrPzXofN7gWvJaN
2XnyJuFQPSQmhrncI7mNoO,SELFISH,The Kid LAROI,F*CK LOVE 3+: OVER YOU,576UTio7xgY7YUxrHMzxeI
1E5Xu8dur0fAjSP1VpVhAZ,Best Friends,The Weeknd,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
51r4wlE7ZlLjMzX1BYawhp,Promise,Adrey,Promise,4rZY2zhVGeFoXRx0slyLOM
4XfuvxTF44Jd9TdsxBz7zs,COLD BLOODED,Chris Grey,COLD BLOODED,6WZo7S2ZoPSPzSXYMQjBIK
7ckfO3Cerf6OsNgdHBqf1b,Drive You Insane,Daniel Di Angelo,Drive You Insane,2WiVHQzHLzSJqUAhHyF3G1
5utAceRFzBzXUkHrkwSklB,LIKE A ROCKSTAR,Chase Atlantic,DON'T TRY THIS,4KJwyWKB1FRpJxZWgkfbz5
4edHoZerfvMGeLz3ohZit6,iPad,The Chainsmokers,So Far So Good,4nZ4dv1XvDE25Lf2MFhOqA
43o1Irj3t3XrH7jkzjp5H3,Patterns,Always Never,Patterns,5qq0yRyeL58wQjwPB4DbP7
7fpWJr5shT90KiCHXKHxch,Phir Le Aya Dil - Reprise,"Pritam, Arijit Singh",Barfi! (Original Motion Picture Soundtrack),2KZs4INik6X4KeZEsEWEm4
71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,1989 (Taylor's Version),64LU4c1nfjz1t4VnGhagcg
1kVEYmQNIGZSknPvqSK86L,the boy is mine - sped up,"pearl, fast forward >>",the boy is mine - sped up,665c5MUF2j0k51EYjsccxm
4K7l6gzsSPKkB3mzokEDKQ,Dekh Lena,"Arijit Singh, Tulsi Kumar, Ankit Tiwari, Manoj Muntashir",Tum Bin 2,7ijsqBc7vZeS5so68Zt7pD
100fbGocyqbBPQkTDchi2g,TOO MUCH,"The Kid LAROI, Jung Kook, Central Cee",THE FIRST TIME,63IolVUykZCHMlu2zu9jHS
